###
# RoG, CIP1,CIP2,CIP3 RoG (remove these lines before starting to cluster)
###
267 9.189913,1200.069788,1272.288485,1647.086788 9.189913
268 9.500955,1117.508382,1225.707264,1574.640520 9.500955
269 9.622955,1051.353435,1170.205535,1512.718460 9.622955
270 9.415440,1131.995745,1275.077662,1576.162170 9.415440
271 9.340384,1163.231164,1266.730140,1590.172420 9.340384
272 9.430403,1111.700321,1256.315785,1561.056061 9.430403
273 9.504734,1091.478491,1270.189525,1567.713326 9.504734
274 9.985248,990.884634,1098.019993,1416.482369 9.985248
275 9.950025,960.537154,1109.234416,1427.296293 9.950025
276 10.191243,920.963650,1104.074046,1415.255408 10.191243
277 10.303966,885.463519,1072.812042,1390.422950 10.303966
278 10.340249,893.051063,1013.250529,1348.340029 10.340249
279 10.284473,863.710236,1044.203399,1374.384423 10.284473
280 10.195541,908.105305,1039.681180,1384.407032 10.195541
281 10.254926,915.006480,1058.871767,1375.602845 10.254926
282 10.286639,871.670336,1083.797353,1368.901631 10.286639
283 10.314183,873.242623,1065.329564,1362.721757 10.314183
284 10.276071,865.732566,1121.832001,1384.838923 10.276071
285 10.465506,813.984174,1055.638185,1335.235879 10.465506
286 10.393212,833.417528,1086.247970,1363.535815 10.393212
287 10.414247,834.522402,1072.412670,1363.408892 10.414247
288 10.179832,927.450112,1110.849318,1417.112394 10.179832
289 10.144547,926.251517,1122.313089,1436.735454 10.144547
290 9.541499,1125.819293,1302.760911,1548.279723 9.541499
291 9.738843,1066.510610,1209.305685,1489.790641 9.738843
292 10.106945,950.359032,983.741853,1411.905476 10.106945
293 10.236224,896.735457,1013.355247,1368.648025 10.236224
294 9.695983,1045.701924,1286.853122,1507.825516 9.695983
295 10.030996,982.538163,1188.139508,1453.923185 10.030996
296 10.043917,952.612009,1066.260441,1414.488144 10.043917
297 10.172845,982.530833,1049.224702,1395.932346 10.172845
298 10.179420,947.536200,1076.064598,1387.412042 10.179420
299 10.094102,918.203055,1075.111899,1406.443769 10.094102
300 10.129288,886.654805,1103.803491,1411.291220 10.129288
301 10.227065,866.412395,1092.218386,1399.031820 10.227065
302 10.438713,803.925219,1037.769710,1351.181985 10.438713
303 10.385232,829.935995,1069.486034,1354.683062 10.385232
304 10.495649,780.900530,1048.726841,1327.354143 10.495649
305 10.257113,844.864938,1085.773106,1377.108637 10.257113
306 10.384395,798.561724,1096.981243,1376.149961 10.384395
307 10.169865,867.122648,1142.666905,1407.839552 10.169865
308 9.805610,1040.679708,1119.242873,1450.173868 9.805610
309 9.830360,1031.834811,1103.475305,1457.747331 9.830360
310 9.924522,1025.976453,1107.180420,1448.880089 9.924522
311 10.124399,995.166155,991.764517,1381.650160 10.124399
312 9.321107,1109.657316,1276.117922,1568.530668 9.321107
313 9.177494,1201.619375,1291.726457,1635.405159 9.177494
314 9.291978,1139.693500,1265.692602,1595.465694 9.291978
315 9.470796,1050.459578,1255.487539,1540.686214 9.470796
316 10.481440,868.996667,916.596652,1344.553757 10.481440
317 10.463393,904.303717,946.047387,1372.987045 10.463393
318 10.534127,918.338038,955.684858,1374.512001 10.534127
319 10.405640,883.747532,931.122446,1379.363753 10.405640
320 10.525070,898.160947,944.663002,1367.140933 10.525070
321 10.382185,967.038978,991.002206,1431.215273 10.382185
322 10.192435,976.283959,1001.431093,1418.072628 10.192435
323 10.411276,916.232581,982.702375,1391.567344 10.411276
324 10.369328,920.827563,997.850852,1369.609986 10.369328
325 10.281437,913.280014,974.679788,1396.394047 10.281437
326 10.527489,899.406585,961.622655,1369.370773 10.527489
327 10.413117,925.635262,1013.768152,1393.629561 10.413117
328 10.467471,900.196822,1000.963828,1399.782655 10.467471
329 10.318093,935.862511,966.798170,1384.889644 10.318093
330 10.418331,897.678670,939.918191,1366.682248 10.418331
331 10.508812,904.028065,923.695910,1344.294718 10.508812
332 10.535158,887.198982,951.534547,1351.669503 10.535158
333 10.456480,894.532791,966.403480,1378.539864 10.456480
334 10.306341,904.653716,952.643753,1390.720137 10.306341
335 10.574935,865.270831,860.770435,1320.274875 10.574935
336 10.479011,862.825105,937.301872,1374.885331 10.479011
337 10.460702,831.462316,957.435374,1359.001900 10.460702
338 10.193250,933.136380,971.959603,1427.911005 10.193250
339 10.514130,853.289142,912.559215,1356.808307 10.514130
340 10.383908,876.222755,956.165790,1374.079686 10.383908
341 10.587523,874.906224,924.781980,1344.840192 10.587523
342 10.602042,855.812652,914.320687,1318.949011 10.602042
343 10.571967,883.046636,944.397885,1342.875766 10.571967
344 10.416752,885.894475,963.429659,1348.585240 10.416752
345 10.404421,900.039839,994.060803,1388.438332 10.404421
346 9.279097,1152.701859,1330.241684,1618.354860 9.279097
347 9.435098,1104.903031,1296.673847,1584.406077 9.435098
348 9.984689,951.794634,1113.015590,1455.721704 9.984689
349 9.927186,950.244595,1116.332170,1461.174813 9.927186
350 10.567889,876.292886,925.426847,1324.873226 10.567889
351 10.385622,904.060534,923.752945,1367.264662 10.385622
352 9.940606,956.067479,1096.920776,1449.342468 9.940606
353 9.989207,943.426103,1147.098981,1448.188059 9.989207
354 10.154540,916.302900,1059.852243,1395.789068 10.154540
355 9.948122,987.321246,1157.095171,1439.951894 9.948122
356 10.530539,842.412316,903.288365,1313.795840 10.530539
357 10.631051,803.484658,939.943523,1308.700346 10.631051
